duration,x0,x1,x2,x3,x4,x5,x6,x7,y0,y1,y2,y3,y4,y5,y6,y7,z0,z1,z2,z3,z4,z5,z6,z7,yaw0,yaw1,yaw2,yaw3,yaw4,yaw5,yaw6,yaw7
1,0,0,0,0,0,0,0,0,2.94E-17,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,1,0,0,0,0,0,0,0,1.570796327,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0.5,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,1,0,0,0,0,0,0,0,1.570796327,0,0,0,0,0,0,0
1,2.94E-17,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,1,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,0.071428571,1,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,0,1,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,1,0,0,0,0,0,0,0,-1.570796327,0,0,0,0,0,0,0
1,1,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,3.54E-17,0,0.5,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,1,0,0,0,0,0,0,0,-1.570796327,0,0,0,0,0,0,0
1,1,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.141592654,0,0,0,0,0,0,0
1,0.5,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,-0.071428571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.141592654,0,0,0,0,0,0,0
